annotator,algorithm_key,algorithm_library,algorithm_method,supervision,is_univariate,delta_eval,train_series,test_series,notes,status,data_split,best_params_json,train_f1_mean,test_f1_mean,test_precision_mean,test_recall_mean,test_mmd_mean,test_mttd_mean,test_detections_mean,test_tp_mean,test_fp_mean,test_fn_mean,test_series_count
all,page_hinkley_river,river,PageHinkley,no_supervisado,True,10,35,14,Page-Hinkley de river.,ok,train_test,"{""delta"": 0.001, ""min_instances"": 20, ""threshold"": 40}",0.316734693877551,0.39648526077097507,0.29523809523809524,0.7261904761904762,0.5815764728880554,4.696969696969696,5.0,1.6428571428571428,3.357142857142857,0.21428571428571427,14
all,adwin_river,river,ADWIN,no_supervisado,True,10,35,14,ADWIN (Adaptive Windowing) de river.,ok,train_test,"{""clock"": 32, ""delta"": 0.01, ""grace_period"": 10, ""max_buckets"": 5, ""min_window_length"": 5}",0.08285714285714284,0.09999999999999999,0.21428571428571427,0.06547619047619047,0.7950973614510681,4.333333333333333,0.5714285714285714,0.21428571428571427,0.35714285714285715,1.6428571428571428,14
all,ewma_numpy,EWMA,ewma,no_supervisado,True,10,35,14,EWMA ligero NumPy.,ok,train_test,"{""alpha"": 0.1, ""min_instances"": 15, ""threshold"": 2.0}",0.2702721088435374,0.3193877551020408,0.24047619047619048,0.5535714285714286,0.6021856801723244,6.216666666666667,4.785714285714286,1.2142857142857142,3.5714285714285716,0.6428571428571429,14
all,changepoint_online_focus,changepoint_online,Focus,no_supervisado,True,10,35,14,Ruptures PELT con costo RBF.,ok,train_test,"{""jump"": 2, ""min_size"": 10, ""penalty"": 10.0}",0.13999999999999999,0.11904761904761904,0.21428571428571427,0.08333333333333333,0.8024475835558231,3.3333333333333335,0.5,0.21428571428571427,0.2857142857142857,1.6428571428571428,14
all,changepoint_online_gaussian,changepoint_online,Gaussian,no_supervisado,True,10,35,14,Ruptures PELT con costo L2.,ok,train_test,"{""jump"": 3, ""min_size"": 25, ""penalty"": 10.0}",0.39006802721088435,0.38401360544217683,0.3571428571428571,0.4880952380952381,0.6147123272614712,3.85,2.857142857142857,1.0714285714285714,1.7857142857142858,0.7857142857142857,14
all,changepoint_online_np_focus,changepoint_online,NPFocus,no_supervisado,True,10,35,14,Detector no parametrico tipo ventana.,ok,train_test,"{""jump"": 3, ""penalty"": 10.0, ""width"": 30}",0.13999999999999999,0.11904761904761904,0.21428571428571427,0.08333333333333333,0.7011100436539807,2.3333333333333335,0.42857142857142855,0.21428571428571427,0.21428571428571427,1.6428571428571428,14
all,changepoint_online_md_focus,changepoint_online,MDFocus,no_supervisado,False,10,35,14,Binary segmentation RBF (aprox multivariado).,ok,train_test,"{""jump"": 3, ""min_size"": 15, ""penalty"": 10.0}",0.13238095238095238,0.11904761904761904,0.21428571428571427,0.08333333333333333,0.7798966754108648,2.6666666666666665,0.5,0.21428571428571427,0.2857142857142857,1.6428571428571428,14
all,ocpdet_cumsum,OCPDet,cumsum,no_supervisado,True,10,35,14,CUSUM clasico.,ok,train_test,"{""drift"": 0.1, ""min_distance"": 20, ""threshold"": 10.0}",0.28793650793650793,0.3633786848072562,0.26190476190476186,0.7083333333333333,0.5515508596546701,5.196969696969696,6.0,1.5714285714285714,4.428571428571429,0.2857142857142857,14
all,ocpdet_ewma,OCPDet,ewma,no_supervisado,True,10,35,14,EWMA adaptativo.,ok,train_test,"{""alpha"": 0.1, ""min_instances"": 10, ""threshold"": 2.0}",0.25654091939806223,0.3185374149659864,0.2253401360544218,0.6488095238095237,0.5956130142417811,5.212121212121212,5.857142857142857,1.3571428571428572,4.5,0.5,14
all,ocpdet_two_sample_tests,OCPDet,two sample tests,no_supervisado,True,10,35,14,Ventanas con KS test.,ok,train_test,"{""alpha"": 0.05, ""min_distance"": 30, ""step"": 5, ""window_size"": 20}",0.386938775510204,0.2976190476190476,0.33333333333333337,0.33333333333333337,0.5870389683266447,5.357142857142857,1.9285714285714286,0.7142857142857143,1.2142857142857142,1.1428571428571428,14
all,ocpdet_neural_networks,OCPDet,neural networks,no_supervisado,True,10,35,14,Auto-regresion MLP residual.,ok,train_test,"{""hidden_layer_sizes"": [25, 15], ""min_distance"": 20, ""step"": 1, ""threshold"": 2.0, ""window_size"": 15}",0.28952380952380957,0.3377551020408163,0.30238095238095236,0.47023809523809523,0.5937208185644962,4.4,3.2142857142857144,1.0,2.2142857142857144,0.8571428571428571,14
all,ssm_canary,SSM,canary,semi_supervisado,True,10,35,14,Filtro de Kalman basico.,ok,train_test,"{""measurement_noise"": 0.5, ""min_distance"": 25, ""process_noise"": 0.001, ""threshold"": 2.0}",0.24340136054421768,0.41020408163265304,0.4047619047619047,0.5595238095238095,0.6621271037864999,3.6818181818181817,3.0,1.0714285714285714,1.9285714285714286,0.7857142857142857,14
all,tagi_lstm_ssm,TAGI-LSTM/SSM,canary,semi_supervisado,True,10,35,14,Filtro Kalman adaptativo (TAGI).,ok,train_test,"{""adaptation"": 1e-05, ""measurement_noise"": 0.2, ""min_distance"": 25, ""process_noise"": 0.0002, ""threshold"": 2.0}",0.23523809523809527,0.3459183673469388,0.32142857142857134,0.4880952380952381,0.6666091599810956,3.8,3.0,0.9285714285714286,2.0714285714285716,0.9285714285714286,14
all,skf_kalman_canary,SKF,canary,semi_supervisado,True,10,35,14,Filtro Kalman robusto.,ok,train_test,"{""measurement_noise"": 1.0, ""min_distance"": 20, ""process_noise"": 0.005, ""threshold"": 2.5}",0.1729251700680272,0.2714285714285714,0.2857142857142857,0.29761904761904756,0.9392159176597693,3.5714285714285716,2.0,0.5,1.5,1.3571428571428572,14
all,bayesian_online_cpd_cpfinder,Bayesian Online Change Point Detection,cpfinder,no_supervisado,True,10,35,14,BCPD con Student-T.,ok,train_test,"{""alpha"": 0.1, ""beta"": 0.01, ""hazard_lambda"": 100.0, ""kappa"": 1.0, ""min_distance"": 15, ""probability_threshold"": 0.5}",0.0,0.0,0.0,0.0,0.7857142857142857,,0.0,0.0,0.0,1.8571428571428572,14
all,changefinder_sdar,ChangeFinder,changefinder,no_supervisado,True,10,35,14,ChangeFinder SDAR.,ok,train_test,"{""min_distance"": 20, ""order"": 1, ""r"": 0.3, ""smooth"": 5, ""threshold"": 2.0}",0.07428571428571429,0.1357142857142857,0.2857142857142857,0.08928571428571427,1.0929939462350766,4.5,1.0,0.2857142857142857,0.7142857142857143,1.5714285714285714,14
all,rulsif_roerich,RuLSIF,Roerich,no_supervisado,False,10,35,14,Roerich Online NN RuLSIF.,ok,train_test,"{""alpha"": 0.05, ""lag_size"": 40, ""min_distance"": 20, ""n_epochs"": 1, ""step"": 1, ""threshold"": 0.08, ""window_size"": 5}",0.16095238095238096,0.21904761904761902,0.42857142857142855,0.14880952380952378,0.9978309862315713,3.1666666666666665,0.9285714285714286,0.42857142857142855,0.5,1.4285714285714286,14
